,Date,Weighted_Sentiment_Score,Like Count,Retweet Count,Follower Count,Daily_Avg_Sentiment_Score,Polarity,Tweet Volume
330,2010-12-13,15483.7873,0,0,89347,0.17329946500721904,positive,56
331,2010-12-14,30043.6339,1,2,273479,0.10985598284347782,positive,92
332,2010-12-15,98704.6368,0,5,292501,0.3374448277984041,positive,107
333,2010-12-16,60182.995,0,2,149549,0.40242455750880973,positive,89
334,2010-12-17,38365.223000000005,0,1,111174,0.3450885810658872,positive,68
335,2010-12-18,4435.163999999999,0,1,159968,0.02772514674718226,neutral,77
336,2010-12-19,39840.3054,0,3,108239,0.3680669740026976,positive,54
337,2010-12-20,37646.9247,0,3,146671,0.2566707439628019,positive,75
338,2010-12-21,107792.40479999999,1,15,18795549,0.005734991462081613,neutral,87
339,2010-12-22,25957.4933,0,1,70179,0.3698702379595326,positive,57
340,2010-12-23,77907.0216,1,0,164106,0.4747330802464245,positive,70
341,2010-12-24,49041.9904,0,2,161922,0.30287042316148316,positive,73
342,2010-12-25,2729225.6239000005,1,6,4621603,0.5905356842961653,positive,52
343,2010-12-26,18746.0264,1,0,46383,0.40414855122456017,positive,41
344,2010-12-27,49531.111000000004,0,2,122270,0.40508956261449885,positive,64
345,2010-12-28,25933.086199999998,0,6,99622,0.26029917493074234,positive,72
346,2010-12-29,22581.6992,0,3,98482,0.22929074681423567,positive,55
347,2010-12-30,22817.4351,0,1,120126,0.1899442681495417,positive,67
348,2011-01-02,0.0,0,0,228,0.0,neutral,1
349,2011-01-03,186.6101,2,0,37923,0.004920503625576796,neutral,7
350,2011-01-04,85.27759999999999,0,0,18546,0.004598166720586649,neutral,3
351,2011-01-05,2394.0042999999996,0,0,6740,0.35519351632047474,positive,4
352,2011-01-06,0.0,0,0,1701,0.0,neutral,1
353,2011-01-07,3174.3743999999997,0,0,11455,0.27711692710606717,positive,19
354,2011-01-08,24.627200000000215,0,0,7508,0.0032801278636121756,neutral,13
355,2011-01-09,643.3354,0,0,5067,0.1269657390961121,positive,8
356,2011-01-10,3952.9711,0,2,56225,0.07030378821562595,positive,24
357,2011-01-11,18856.4703,1,2,94824,0.19885127969881997,positive,75
358,2011-01-12,725104.2874,34,49,29037846,0.024970936715218224,neutral,199
359,2011-01-13,0.0,0,0,325,0.0,neutral,1
360,2011-01-14,1232.9673,0,0,2219,0.5556409643983776,positive,3
361,2011-01-15,0.0,0,0,4767,0.0,neutral,3
362,2011-01-17,-73.9466,0,0,1775,-0.04166005633802817,neutral,3
363,2011-01-18,868.4688,0,1,3725,0.23308341384863124,positive,2
364,2011-01-19,0.0,0,0,320,0.0,neutral,2
365,2011-01-20,0.0,0,0,1754,0.0,neutral,1
366,2011-01-21,0.0,0,0,310,0.0,neutral,1
367,2011-01-23,177.19170000000003,0,0,343,0.5165938775510205,positive,2
368,2011-01-24,-36.511000000000024,0,0,1074,-0.03399534450651771,neutral,3
369,2011-01-25,0.0,0,0,28,0.0,neutral,1
370,2011-01-26,2351.3776,0,0,3607,0.6518928749653451,positive,4
371,2011-01-27,0.0,0,0,861,0.0,neutral,1
372,2011-01-28,9879.2863,0,0,24034,0.4110546018140967,positive,6
373,2011-01-29,54.991800000000005,0,0,561,0.0980245989304813,positive,4
374,2011-01-30,0.0,0,0,1663,0.0,neutral,1
375,2011-01-31,883.5833999999999,0,0,3484,0.25361176808266356,positive,3
376,2011-02-01,1007.556,0,0,2040,0.4939,positive,1
377,2011-02-02,7.373799999999999,0,0,85,0.08675058823529411,positive,2
