,Date,Tweet Volume,Polarity,Retweet,Sentiment Score,Year
261,2010-10-04,11,positive,No,0.004146642060499077,2010
262,2010-10-05,11,positive,No,0.07130061702775241,2010
263,2010-10-06,7,positive,No,0.2362169696969697,2010
264,2010-10-07,12,positive,No,0.33518574062125545,2010
265,2010-10-08,53,negative,Yes,-0.001966628272086083,2010
266,2010-10-09,36,positive,Yes,0.3788926723324556,2010
267,2010-10-10,30,positive,Yes,0.21874521911339054,2010
268,2010-10-11,47,positive,Yes,0.25995185537200066,2010
269,2010-10-12,72,positive,Yes,0.03510800977875213,2010
270,2010-10-13,59,positive,Yes,0.014340988671892515,2010
271,2010-10-14,53,positive,Yes,0.018559473219695973,2010
272,2010-10-15,50,positive,No,0.29822552133473273,2010
273,2010-10-16,30,positive,No,0.4364709050255678,2010
274,2010-10-17,26,positive,No,0.057014784881908025,2010
275,2010-10-18,44,positive,Yes,0.4987813284561553,2010
276,2010-10-19,50,positive,Yes,0.20417023098534678,2010
277,2010-10-20,45,positive,Yes,0.1660230026160157,2010
278,2010-10-21,50,negative,Yes,-0.07029394599729011,2010
279,2010-10-22,52,positive,No,0.08091666153406832,2010
280,2010-10-23,28,positive,No,0.36201039675795804,2010
281,2010-10-24,29,positive,No,0.07010838739883621,2010
282,2010-10-25,69,positive,No,0.2607539753703217,2010
283,2010-10-26,57,positive,Yes,0.17680974779915976,2010
284,2010-10-27,42,positive,Yes,0.1712317937799755,2010
285,2010-10-28,54,positive,No,0.1543847517336488,2010
286,2010-10-29,69,positive,Yes,0.29569235869165017,2010
287,2010-10-30,33,negative,Yes,-0.027669065595865582,2010
288,2010-10-31,58,positive,Yes,0.2045998733695037,2010
289,2010-11-01,2,positive,No,0.3532122547939167,2010
290,2010-11-02,5,positive,No,0.0727365098820285,2010
291,2010-11-03,1,positive,No,0.3612,2010
292,2010-11-04,5,positive,No,0.2682381371932033,2010
293,2010-11-05,2,negative,No,0.0,2010
294,2010-11-06,6,positive,No,0.5019910976663785,2010
295,2010-11-07,8,positive,No,0.13013608964451312,2010
296,2010-11-08,41,positive,No,0.019130241777390554,2010
297,2010-11-09,19,positive,Yes,0.24934611681886254,2010
298,2010-11-10,31,positive,Yes,0.22899294401233974,2010
299,2010-11-11,50,positive,No,0.11715684124710472,2010
300,2010-11-12,43,positive,Yes,0.19573306046329011,2010
301,2010-11-13,47,positive,Yes,0.19876365856968384,2010
302,2010-11-14,63,positive,Yes,0.14825663245881213,2010
303,2010-11-15,65,positive,Yes,0.008369099183088832,2010
304,2010-11-16,52,positive,No,0.1678446841732879,2010
305,2010-11-17,43,positive,Yes,0.5037272371337468,2010
306,2010-11-18,59,positive,Yes,0.3819530455056414,2010
307,2010-11-19,34,positive,Yes,0.3468516572771576,2010
308,2010-11-20,36,positive,No,0.21967359244160423,2010
309,2010-11-21,36,positive,Yes,0.010907749439306448,2010
